ID	Plumage	PlumageColor	Species_Latin	Shape	name	value	centered_value	scaled_value	axis	Analysis
419_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC3	0.0022645	0.2625365	0.388033527347757	3	Autosomes
419_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC4	-0.00140719	0.54141881	0.459951313457738	4	Autosomes
419_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC5	-0.00453048	0.64835252	0.730033813264753	5	Autosomes
419_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC6	-0.00391776	0.56495424	0.506309431202658	6	Autosomes
427_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC1	0.0790177	0.2993297	0.966142221519304	1	Autosomes
427_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC2	0.0816549	0.4423729	0.93246959381126	2	Autosomes
427_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC3	0.000862148	0.261134148	0.385960826625597	3	Autosomes
427_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC4	-0.00138015	0.54144585	0.45997428473854	4	Autosomes
427_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC5	-0.0027252	0.6501578	0.732066527570253	5	Autosomes
427_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC6	-0.0024856	0.5663864	0.507592926508387	6	Autosomes
420_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC1	0.078527	0.298839	0.964558396098373	1	Autosomes
420_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC2	0.0833401	0.4440581	0.93602179549335	2	Autosomes
420_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC3	-0.000878487	0.259393513	0.383388137727578	3	Autosomes
420_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC4	-0.000326783	0.542499217	0.46086915120098	4	Autosomes
420_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC5	-0.00087249	0.65201051	0.734152647241961	5	Autosomes
420_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC6	0.000992502	0.569864502	0.510709985768416	6	Autosomes
418_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC1	0.079404	0.299716	0.967389076542955	1	Autosomes
418_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC2	0.0887623	0.4494803	0.947451149849286	2	Autosomes
418_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC3	0.000286948	0.260558948	0.38511067099036	3	Autosomes
418_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC4	0.00102491	0.54385091	0.462017454435479	4	Autosomes
418_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC5	0.00114965	0.65403265	0.736429542186636	5	Autosomes
418_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC6	0.000831376	0.569703376	0.510565585376958	6	Autosomes
422_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC1	0.0796017	0.2999137	0.96802719002516	1	Autosomes
422_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC2	0.0921922	0.4529102	0.954680972154887	2	Autosomes
422_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC3	0.000226218	0.260498218	0.385020910990833	3	Autosomes
422_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC4	-0.00160553	0.54122047	0.45978281775381	4	Autosomes
422_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC5	-1.56854e-05	0.6528673146	0.735117394520742	5	Autosomes
422_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC6	-0.00279965	0.56607235	0.507311476320723	6	Autosomes
429_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC1	0.0797006	0.3000126	0.968346408150552	1	Autosomes
429_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC2	0.0904472	0.4511652	0.951002719166965	2	Autosomes
429_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC3	0.000793517	0.261065517	0.385859388810226	3	Autosomes
429_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC4	-0.00175035	0.54107565	0.4596597888749	4	Autosomes
429_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC5	-0.00252041	0.65036259	0.732297117596522	5	Autosomes
429_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC6	-0.00295914	0.56591286	0.507168542105056	6	Autosomes
421_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC1	0.0805034	0.3008154	0.970937594308944	1	Autosomes
421_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC2	0.101526	0.462244	0.9743555152716	2	Autosomes
421_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC3	0.000827715	0.261099715	0.385909934050862	3	Autosomes
421_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC4	-0.00119944	0.54162656	0.460127803235349	4	Autosomes
421_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC5	-0.00231444	0.65056856	0.732529036282545	5	Autosomes
421_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC6	-0.00148672	0.56738528	0.508488118240446	6	Autosomes
424_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC1	0.0792206	0.2995326	0.966797118967657	1	Autosomes
424_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC2	0.0834467	0.4441647	0.936246495647225	2	Autosomes
424_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC3	0.000459071	0.260731071	0.385365071787307	3	Autosomes
424_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC4	0.000773128	0.543599128	0.461803558169841	4	Autosomes
424_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC5	-0.00233544	0.65054756	0.732505390642857	5	Autosomes
424_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC6	-0.000369605	0.568502395	0.509489271644017	6	Autosomes
417_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC1	0.0788466	0.2991586	0.965589964479318	1	Autosomes
417_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC2	0.0992029	0.4599209	0.969458696064585	2	Autosomes
417_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC3	3.26752e-05	0.2603046752	0.384734851355785	3	Autosomes
417_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC4	-0.00211059	0.54071541	0.45935375432623	4	Autosomes
417_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC5	-0.00343073	0.64945227	0.731272112895544	5	Autosomes
417_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC6	-0.00220955	0.56666245	0.507840321268152	6	Autosomes
428_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC1	0.0804208	0.3007328	0.970670987462054	1	Autosomes
428_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC2	0.106614	0.467332	0.985080415674206	2	Autosomes
428_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC3	-8.58893e-06	0.26026341107	0.38467386225173	3	Autosomes
428_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC4	-0.00179943	0.54102657	0.459618093961374	4	Autosomes
428_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC5	-0.000920626	0.651962374	0.734098446931866	5	Autosomes
428_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC6	-0.00152203	0.56734997	0.508456473578365	6	Autosomes
430_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC1	0.0789202	0.2992322	0.965827522154028	1	Autosomes
430_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC2	0.0871245	0.4478425	0.943998861744061	2	Autosomes
430_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC3	0.00264716	0.26291916	0.388599105503841	3	Autosomes
430_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC4	0.0027863	0.5456123	0.46351380740484	4	Autosomes
430_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC5	-0.00341387	0.64946913	0.731291096966264	5	Autosomes
430_CC_GRW_HUN_F	grey	#000000	C. canorus	21	PC6	0.00248717	0.57135917	0.512049500460644	6	Autosomes
