ID	IDtree	Analysis_Dataset	Group	IDNumber	Species	Species_Latin	Shape	Country	Sex	MeanCoverage	MedianCoverage	Plumage	CanorusDiverged	JPlumageColor	PlumageColor	Longitude	Latitude	Source	Isolate	Sampling_Date	SRA_Biosample	SRA_Runs	Aligned_Reads_Million	Sequencing_Output_Gb	Aligned_Gb	Aligned_Gb_Percent
283_CC_UNK_RUS_F	283_CC_grey	B	CG	283	CC	C. canorus	21	RUS	F	12.71	12	grey	NA	#000000	#000000	132.7833	44.75	muscle	652	23-Jun-04	SAMN18559729	SRR14117547,SRR14117546	135.21748	20.37124	20.05284279	0.984370259
285_CC_UNK_RUS_F	285_CC_grey	B	CG	285	CC	C. canorus	21	RUS	F	10.86	10	grey	NA	#000000	#000000	132.7833	44.75	muscle	1265	23-May-05	SAMN18559731	SRR14117540	120.903734	18.2745	17.85088811	0.976819509
286_CC_UNK_RUS_F	286_CC_grey	B	CG	286	CC	C. canorus	21	RUS	F	12.52	11	grey	NA	#000000	#000000	130.7	42.48333	muscle	639	19-Jun-04	SAMN18559732	SRR14117539	128.89753	19.52563	19.01405605	0.973799875
291_CC_UNK_RUS_F	291_CC_grey	B	CG	291	CC	C. canorus	21	RUS	F	14.96	14	grey	NA	#000000	#000000	143.3333	46.48333	muscle	963	15-Jun-03	SAMN18559737	SRR14117658,SRR14117657	151.186576	22.82363	22.28839161	0.976548937
294_CC_UNK_RUS_F	294_CC_grey	B	CG	294	CC	C. canorus	21	RUS	F	15.14	14	grey	NA	#000000	#000000	143.3333	46.48333	muscle	82	18-Jun-04	SAMN18559740	SRR14117652,SRR14117651	153.54039	23.1892	22.67883762	0.977991376
295_CC_UNK_RUS_F	295_CC_grey	B	CG	295	CC	C. canorus	21	RUS	F	11.46	10	grey	NA	#000000	#000000	143.3333	46.48333	muscle	118	13-Jul-04	SAMN18559741	SRR14117650	115.722976	17.531	17.03288603	0.971586677
304_CC_UNK_RUS_F	304_CC_grey	B	CG	304	CC	C. canorus	21	RUS	F	12.97	12	grey	NA	#000000	#000000	40.183102	51.135816	blood	Cc-031.1	29-Jan-20	SAMN18559750	SRR14117634	130.9903	19.78347	19.4214426	0.981700511
328_CC_SCC_RUS_F	328_CC_grey	B	CG	328	CC	C. canorus	21	RUS	F	13.94	13	grey	NA	#000000	#000000	59.76667	58.63333	muscle	Co-041	17-Aug-14	SAMN18559774	SRR14117598	151.77779	22.90607	22.46655909	0.98081247
393_CC_UNK_RUS_F	393_CC_grey	B	CG	393	CC	C. canorus	21	RUS	F	7.27	6	grey	NA	#000000	#000000	129.8	62	muscle	488	23-May-18	SAMN18559839	SRR14117676	79.933466	12.05192	11.60083273	0.962571336
119_CC_UNK_ENG_F	119_CC_rufous	B	CH	119	CC	C. canorus	21	ENG	F	12.19	11	rufous	NA	#e78f41	#e78f41	0.62116	52.40516	feather	DS58269	6-Jun-16	SAMN15783697	SRR12426771,SRR12426770	126.846478	20.77751	18.28654768	0.880112568
301_CC_UNK_RUS_F	301_CC_rufous	B	CH	301	CC	C. canorus	21	RUS	F	9	8	rufous	NA	#e78f41	#e78f41	90.21667	50.45	lung	309/2000	14-Jun-00	SAMN18559747	SRR14117639	90.366844	13.69436	13.31562232	0.972343528
